time,coord_x,coord_y
31.59075,0.552502,0.628491
31.60462,0.553954,0.628264
31.61842,0.555363,0.628057
31.63234,0.556711,0.627863
31.64638,0.558022,0.627707
31.66023,0.5593,0.627612
31.67409,0.560579,0.627566
31.68806,0.561838,0.627536
31.70205,0.56304,0.627485
31.71587,0.564176,0.627426
31.7299,0.56527,0.627409
31.74374,0.566374,0.627507
31.75777,0.567563,0.627764
31.77169,0.568914,0.628178
31.78556,0.570464,0.628888
31.79955,0.572253,0.630081
31.81333,0.574162,0.631714
31.82727,0.576194,0.633615
31.84116,0.578236,0.63558
31.85505,0.580247,0.637523
31.86908,0.582251,0.639514
31.88301,0.584206,0.641574
